"Thank you for subscribing to our newsletter!","Aitäh, et liitusite meie uudiskirjaga!"
"Thank you for your subscription","Aitäh, et liitusite meie uudiskirjaga!"
"No data recieved.","Vajalikud andmed puuduvad."
"Posted fields do not contain a valid email address.","Vigane e-posti aadress!"
"Could not deliver email.","e-kirja saatmine ebaõnnestus!"
"Newsletter subscriptions synchronized.","Uudiskirja kontaktid sünkroniseeritud."
"Select fields you wish to synchronize along with subscription data","Vali lisainformatsioon, mida soovid sünkroniseerida"
"For example &quot;demo&quot; from https://<strong>demo</strong>.sendsmaily.net/","Näiteks &quot;demo&quot; aadressist https://<strong>demo</strong>.sendsmaily.net/"
"Enabled","Aktiivne"
"Additional data","Lisainformatsioon"
"Smaily Email Marketing And Automation","Smaily E-Turundus Ja Automatiseerimine"
"<strong>Please fill out credentials to enable this module.</strong><br />You can create Smaily account at our website<a href=https://smaily.com target=_blank>Welcome to Smaily!</a>", "<strong>Palun sisesta alamdomeen ning kasutajatunnused, et alustada mooduli kasutamist.</strong><br />Smaily konto saad luua meie veebilehelt<a href=https://smaily.com target=_blank>Tere tulemast Smaily-sse!</a>"
"Yes","Jah"
"No","Ei"
"Subdomain","Alamdomeen"
"Username","Kasutajatunnus"
"Password","Parool"
"<a href=http://help.smaily.com/en/support/solutions/articles/16000062943-create-api-user target=_blank>How to create API credentials?</a>","<a href=http://help.smaily.com/en/support/solutions/articles/16000062943-create-api-user target=_blank>Kuidas teha rakendusliide võtmeid?</a>"
"Customer Synchronization","Uudiskirja Tellijate Sünkroonimine"
"How often do you want to synchronize?","Kui tihti soovid kasutajaid sünkroniseerida?"
"Every 4 hours", "Iga 4 tunni järel"
"Twice a day", "Kaks korda päevas"
"Every day", "Korra päevas"
"Once a week", "Korra nädalas"
"The configuration has been saved.", "Sätted salvestatud"
"Module is not activated!", "Smaily moodul ei ole aktiveeritud"
"Could not validate credentials! Your current input is saved, but the module is still disabled. Please try again!", "Ei õnnestunud kasutajat valideerida! Praegused andmed on salvestatud, kuid moodul on endiselt deaktiivne. Palun proovi uuesti!"
